date,location,new_cases,new_deaths,total_cases,total_deaths,mortality
2020-03-14,India,8,1,82,2,0.024390243902439025
2020-03-14,Indonesia,35,2,69,3,0.043478260869565216
2020-03-14,International,1,0,697,7,0.010043041606886656
2020-03-14,Iran,1289,85,11364,514,0.04523055262231609
2020-03-14,Iraq,23,2,93,9,0.0967741935483871
2020-03-14,Ireland,20,0,90,1,0.011111111111111112
2020-03-14,Israel,25,0,100,0,0
2020-03-14,Italy,2547,252,17660,1268,0.07180067950169876
2020-03-14,Jamaica,6,0,7,0,0
2020-03-14,Japan,41,2,716,21,0.029329608938547486
2020-03-14,Jersey,0,0,2,0,0
2020-03-14,Jordan,0,0,1,0,0
2020-03-14,Kenya,0,0,1,0,0
2020-03-14,Kuwait,20,0,100,0,0
2020-03-14,Latvia,0,0,16,0,0
2020-03-14,Lebanon,11,1,77,4,0.05194805194805195
2020-03-14,Liechtenstein,0,0,4,0,0
2020-03-14,Lithuania,3,0,6,0,0
2020-03-14,Luxembourg,21,0,38,1,0.02631578947368421
2020-03-14,Macedonia,2,0,9,0,0
2020-03-14,Malaysia,68,0,197,0,0
2020-03-14,Maldives,1,0,9,0,0
2020-03-14,Malta,3,0,12,0,0
2020-03-14,Martinique,2,0,6,0,0
2020-03-14,Mexico,14,0,26,0,0
2020-03-14,Moldova,4,0,8,0,0
2020-03-14,Monaco,1,0,2,0,0
2020-03-14,Mongolia,0,0,1,0,0
2020-03-14,Morocco,1,0,7,1,0.14285714285714285
2020-03-14,Nepal,0,0,1,0,0
2020-03-14,Netherlands,190,5,804,10,0.012437810945273632
2020-03-14,New Zealand,1,0,6,0,0
2020-03-14,Nigeria,0,0,2,0,0
2020-03-14,Norway,261,0,750,1,0.0013333333333333333
2020-03-14,Oman,1,0,19,0,0
2020-03-14,Pakistan,1,0,21,0,0
2020-03-14,Palestine,4,0,35,0,0
2020-03-14,Panama,13,0,27,1,0.037037037037037035
2020-03-14,Paraguay,1,0,6,0,0
2020-03-14,Peru,6,0,28,0,0
2020-03-14,Philippines,12,0,64,2,0.03125
2020-03-14,Poland,15,0,64,1,0.015625
2020-03-14,Portugal,71,0,112,0,0
2020-03-14,Puerto Rico,0,0,3,0,0
2020-03-14,Qatar,0,0,262,0,0
2020-03-14,Reunion,2,0,5,0,0
2020-03-14,Romania,16,0,64,0,0
2020-03-14,Russia,0,0,34,0,0
2020-03-14,Saint Barthlemy,0,0,1,0,0
2020-03-14,Saint Martin (French part),0,0,2,0,0
2020-03-14,Saint Vincent and the Grenadines,0,0,1,0,0
2020-03-14,San Marino,3,0,66,2,0.030303030303030304
2020-03-14,Saudi Arabia,41,0,62,0,0
2020-03-14,Senegal,0,0,10,0,0
2020-03-14,Serbia,12,0,31,0,0
2020-03-14,Singapore,13,0,200,0,0
2020-03-14,Slovakia,9,0,30,0,0
2020-03-14,Slovenia,84,0,141,0,0
2020-03-14,South Africa,0,0,17,0,0
2020-03-14,South Korea,107,6,8086,72,0.008904279000742024
2020-03-14,Spain,1266,36,4231,120,0.028362089340581424
2020-03-14,Sri Lanka,3,0,6,0,0
2020-03-14,Sudan,0,0,1,0,0
2020-03-14,Sweden,155,0,775,0,0
2020-03-14,Switzerland,267,0,1125,6,0.005333333333333333
2020-03-14,Thailand,0,0,75,1,0.013333333333333334
2020-03-14,Togo,0,0,1,0,0
2020-03-14,Trinidad and Tobago,0,0,1,0,0
2020-03-14,Tunisia,9,0,16,0,0
2020-03-14,Turkey,4,0,5,0,0
2020-03-14,Ukraine,0,0,3,1,0.3333333333333333
2020-03-14,United Arab Emirates,0,0,85,0,0
2020-03-14,United Kingdom,208,2,802,10,0.012468827930174564
2020-03-14,United States,414,5,1678,41,0.02443384982121573
2020-03-14,Vatican,0,0,1,0,0
2020-03-14,Venezuela,0,0,2,0,0
2020-03-14,Vietnam,9,0,48,0,0
2020-03-14,World,9766,434,142539,5393,0.03783525912206484
